psi1,psi2,feas_frac,mean_penalty
0.05,0.6,0.35,136.6259
0.05,0.67,0.35,138.1359
0.05,0.74,0.35,139.5403
0.05,0.81,0.35,140.9955
0.05,0.88,0.35,142.7716
0.05,0.95,0.35,145.8063
0.12,0.6,0.35,146.0391
0.12,0.67,0.35,149.3673
0.12,0.74,0.35,152.4288
0.12,0.81,0.35,155.4952
0.12,0.88,0.35,158.9978
0.12,0.95,0.35,164.2796
0.19,0.6,0.35,151.4292
0.19,0.67,0.35,156.9378
0.19,0.74,0.35,161.9306
0.19,0.81,0.35,166.8267
0.19,0.88,0.35,172.2085
0.19,0.95,0.35,179.7043
0.26,0.6,0.35,153.0086
0.26,0.67,0.35,161.3533
0.26,0.74,0.35,168.7236
0.26,0.81,0.35,175.8158
0.26,0.88,0.35,183.4177
0.26,0.95,0.35,193.4754
0.33,0.6,0.35,150.0032
0.33,0.67,0.35,162.359
0.33,0.74,0.35,172.7766
0.33,0.81,0.35,182.56
0.33,0.88,0.35,192.8428
0.33,0.95,0.35,206.007
0.4,0.6,0.35,140.347
0.4,0.67,0.35,159.0875
0.4,0.74,0.35,173.6716
0.4,0.81,0.35,186.8373
0.4,0.88,0.35,200.3899
0.4,0.95,0.35,217.371
